<FONT size=3.5>N.∫ DE ELEMENTO,<FONT size=3.5>N.∫ DE PIEZA,<FONT size=3.5>DESCRIPCI”N,<FONT size=3.5>CANTIDAD
1,fliper,,1
2,fliperLateralDer,,1
3,EjeRuedaOruga,,5
4,RuedaOru,,8
5,EspaciadorRuedaOruga,,16
6,am-2986 fr8zz hex bearing,,22
7,wcp-1388 (1),,3
8,pulleyTracBa,,2
9,PulleyTracFr,,2
10,hex116mm,,1
11,tijera,,8
12,wcp-0784,,4
13,eje3i8inTijera,,2
14,ejeTijera,,4
15,ejeAmortiguadorTijera,,4
16,espaciadorRuedaTijera,,8
17,RuedaTijera,,4
18,ejeSoporteOruga,,4
19,am-4117 bearing hub,,2
20,Pulley42Tooth,,4
21,lateralChasis,,1
22,500Hex and Key Coupler.STEP,,2
23,10-32x0500_shcs_HX-SHCS 0.19-32x1.375x1-C.STEP,,4
24,wcp-0576,,2
25,500Hex Thin Collar Clamp Body v2.STEP,,1
26,4-40 x 0.375 SHCS with threads_91251A108.STEP,,1
27,Enclosures Master Model - Pancake Motor Plate,,2
28,LCC40-F Tterminal ASM V01.step,LCC40-F Tterminal ASM V01,2
29,LCC40-F Housing ASM V01.step,LCC40-F Housing ASM V01,2
30,LCC40-F Tterminal ASM V01-0.step,LCC40-F Tterminal ASM V01,2
31,LCC40-F Tterminal ASM V01-1.step,LCC40-F Tterminal ASM V01,2
32,Part 4.step,Part 4,2
33,Part 3.step,Part 3,2
34,Part 6.step,Part 6,2
35,Part 2.step,Part 2,2
36,Part 5.step,Part 5,2
37,Magnet 6 OD x 5 Cylinder N45SH Diametrical.step,Magnet 6 OD x 5 Cylinder N45SH Diametrical,2
38,Saite 8325 120kv.step,Saite 8325 120kv,2
39,Magnet Holder 8325 6mm.step,Magnet Holder 8325 6mm,2
40,Pulleys,,2
41,Pulleys 16T,,2
42,am-1635 500Hex Thin Collar Clamp (1 Part),,15
43,ejeHexODrive,,2
44,banda,,2
45,banda2,,2
46,EjeFrenteFlipper,,2
47,217-2625-008 Rev1.step,,1
48,217-2625-010 Rev1.step,,3
49,217-2625-005 Rev1_Planet_Revolving_Follower01.step,,3
50,217-2625-007 Rev1_Public.step,,1
51,217-2625-026 Rev1.step,,1
52,217-2742-001 Rev4.step,,2
53,217-2625-017 Rev1_9714K61.step,,1
54,217-2625-003 Rev1.step,,1
55,217-2625-018 Rev1_98541A410.step,,1
56,832-1750-Ring-Gear-Screw_SSA0832-0500ZC.step,,2
57,217-2625-025 Rev1.step,,1
58,217-4649-002 Rev1_SSA0832-0500ZC.step,,2
59,217-4649-006 Rev1_SSA0004-008BA.step,,2
60,217-2822-003 Rev4.step,,1
61,217-3351 Rev2.step,,1
62,217-2816-001 Rev1.step,,1
63,217-4649-001 Rev1.step,,1
64,217-4649-007 Rev1_94105A824.step,,1
65,217-2625-011 Rev1.step,,1
66,fliperCopia,,1
67,fliperLateralDer-cOPIA,,1
68,soporteTransmision,,1
69,EjeTransmision,,1
